0.0001
Training starts..
Train Epoch: 1 [17120/68175 (25%)] | Loss: 3.872680 | Top1_Accuracy_V:0.0625 | Top5_Accuracy_V:0.3125 | Time:12.3321 | Total_Time:1319.0509
Train Epoch: 1 [17280/68175 (25%)] | Loss: 2.757714 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.625 | Time:12.2128 | Total_Time:1331.3389
Train Epoch: 1 [17440/68175 (26%)] | Loss: 2.528800 | Top1_Accuracy_V:0.5 | Top5_Accuracy_V:0.5625 | Time:12.2971 | Total_Time:1343.6483
Train Epoch: 1 [17600/68175 (26%)] | Loss: 3.418872 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.625 | Time:12.3385 | Total_Time:1355.9589
Train Epoch: 1 [17760/68175 (26%)] | Loss: 2.680822 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.75 | Time:12.231 | Total_Time:1368.2464
Train Epoch: 1 [17920/68175 (26%)] | Loss: 2.804461 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.6875 | Time:12.2431 | Total_Time:1380.5341
Train Epoch: 1 [18080/68175 (27%)] | Loss: 2.662066 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.5625 | Time:12.3255 | Total_Time:1392.8154
Train Epoch: 1 [18240/68175 (27%)] | Loss: 3.132292 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.5625 | Time:12.2879 | Total_Time:1405.1048
Train Epoch: 1 [18400/68175 (27%)] | Loss: 3.084368 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.5625 | Time:12.2524 | Total_Time:1417.3865
Train Epoch: 1 [18560/68175 (27%)] | Loss: 2.098027 | Top1_Accuracy_V:0.4375 | Top5_Accuracy_V:0.6875 | Time:12.2554 | Total_Time:1429.6686
Train Epoch: 1 [18720/68175 (27%)] | Loss: 3.349594 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.5625 | Time:12.3218 | Total_Time:1441.961
Train Epoch: 1 [18880/68175 (28%)] | Loss: 3.893703 | Top1_Accuracy_V:0.0625 | Top5_Accuracy_V:0.375 | Time:12.2714 | Total_Time:1454.2561
Train Epoch: 1 [19040/68175 (28%)] | Loss: 2.573737 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.5625 | Time:12.2478 | Total_Time:1466.5507
Train Epoch: 1 [19200/68175 (28%)] | Loss: 3.530326 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.4375 | Time:12.2547 | Total_Time:1478.8411
