0.0001
Training starts..
/home/menglei/anaconda3/lib/python3.6/site-packages/torch/nn/functional.py:1890: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
Train Epoch: 1 [8480/68175 (12%)] | Loss: 4.760556 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.5 | Time:6.8977 | Total_Time:1274.9744
Train Epoch: 1 [8640/68175 (13%)] | Loss: 3.857676 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.75 | Time:6.9608 | Total_Time:1307.2093
Train Epoch: 1 [8800/68175 (13%)] | Loss: 4.500382 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.6875 | Time:6.9087 | Total_Time:1339.8859
Train Epoch: 1 [8960/68175 (13%)] | Loss: 5.031695 | Top1_Accuracy_V:0.1875 | Top5_Accuracy_V:0.375 | Time:6.9821 | Total_Time:1371.9461
Train Epoch: 1 [9120/68175 (13%)] | Loss: 4.203218 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.625 | Time:7.0242 | Total_Time:1402.4735
Train Epoch: 1 [9280/68175 (14%)] | Loss: 4.597369 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.5 | Time:6.8991 | Total_Time:1433.8235
Train Epoch: 1 [9440/68175 (14%)] | Loss: 3.990198 | Top1_Accuracy_V:0.4375 | Top5_Accuracy_V:0.6875 | Time:6.8219 | Total_Time:1466.7636
Train Epoch: 1 [9600/68175 (14%)] | Loss: 4.522659 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.75 | Time:6.9477 | Total_Time:1496.8707
Train Epoch: 1 [9760/68175 (14%)] | Loss: 4.074357 | Top1_Accuracy_V:0.625 | Top5_Accuracy_V:0.75 | Time:6.8986 | Total_Time:1531.2309
Train Epoch: 1 [9920/68175 (15%)] | Loss: 4.348394 | Top1_Accuracy_V:0.5 | Top5_Accuracy_V:0.6875 | Time:6.9336 | Total_Time:1562.6299
Train Epoch: 1 [10080/68175 (15%)] | Loss: 3.678801 | Top1_Accuracy_V:0.5 | Top5_Accuracy_V:0.75 | Time:6.8801 | Total_Time:1598.5761
Train Epoch: 1 [10240/68175 (15%)] | Loss: 4.252104 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.625 | Time:6.9558 | Total_Time:1629.0859
Train Epoch: 1 [10400/68175 (15%)] | Loss: 4.555057 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.5 | Time:7.023 | Total_Time:1658.2967
Train Epoch: 1 [10560/68175 (15%)] | Loss: 4.019593 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.6875 | Time:6.9359 | Total_Time:1689.731
Train Epoch: 1 [10720/68175 (16%)] | Loss: 3.905310 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.6875 | Time:6.6658 | Total_Time:1710.0463
Train Epoch: 1 [10880/68175 (16%)] | Loss: 3.739028 | Top1_Accuracy_V:0.5 | Top5_Accuracy_V:0.75 | Time:6.9081 | Total_Time:1739.7433
Train Epoch: 1 [11040/68175 (16%)] | Loss: 5.098889 | Top1_Accuracy_V:0.125 | Top5_Accuracy_V:0.375 | Time:6.9252 | Total_Time:1772.9283
Train Epoch: 1 [11200/68175 (16%)] | Loss: 4.519205 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.625 | Time:6.9694 | Total_Time:1804.5743
Train Epoch: 1 [11360/68175 (17%)] | Loss: 4.130189 | Top1_Accuracy_V:0.5 | Top5_Accuracy_V:0.75 | Time:7.0639 | Total_Time:1838.7046
Train Epoch: 1 [11520/68175 (17%)] | Loss: 4.604964 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.5 | Time:6.9387 | Total_Time:1869.2587
Train Epoch: 1 [11680/68175 (17%)] | Loss: 4.049989 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.6875 | Time:6.7625 | Total_Time:1897.8052
Train Epoch: 1 [11840/68175 (17%)] | Loss: 4.428693 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.6875 | Time:6.9978 | Total_Time:1927.1018
Train Epoch: 1 [12000/68175 (18%)] | Loss: 3.932734 | Top1_Accuracy_V:0.4375 | Top5_Accuracy_V:0.625 | Time:6.9616 | Total_Time:1955.5626
Train Epoch: 1 [12160/68175 (18%)] | Loss: 3.956009 | Top1_Accuracy_V:0.5 | Top5_Accuracy_V:0.9375 | Time:7.0234 | Total_Time:1985.5797
Train Epoch: 1 [12320/68175 (18%)] | Loss: 3.907825 | Top1_Accuracy_V:0.5 | Top5_Accuracy_V:0.6875 | Time:6.9875 | Total_Time:2015.9628
Train Epoch: 1 [12480/68175 (18%)] | Loss: 3.966024 | Top1_Accuracy_V:0.4375 | Top5_Accuracy_V:0.6875 | Time:6.8755 | Total_Time:2047.7215
Train Epoch: 1 [12640/68175 (19%)] | Loss: 3.435547 | Top1_Accuracy_V:0.5 | Top5_Accuracy_V:0.6875 | Time:7.0067 | Total_Time:2076.2601
Train Epoch: 1 [12800/68175 (19%)] | Loss: 4.222047 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.5625 | Time:7.0451 | Total_Time:2105.6197
Train Epoch: 1 [12960/68175 (19%)] | Loss: 3.655326 | Top1_Accuracy_V:0.4375 | Top5_Accuracy_V:0.8125 | Time:6.8926 | Total_Time:2133.2743
Train Epoch: 1 [13120/68175 (19%)] | Loss: 4.146835 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.8125 | Time:6.9477 | Total_Time:2160.1694
Train Epoch: 1 [13280/68175 (19%)] | Loss: 3.615993 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.6875 | Time:6.9958 | Total_Time:2186.6014
Train Epoch: 1 [13440/68175 (20%)] | Loss: 4.693378 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.625 | Time:7.0037 | Total_Time:2215.1294
Train Epoch: 1 [13600/68175 (20%)] | Loss: 3.271596 | Top1_Accuracy_V:0.5625 | Top5_Accuracy_V:0.8125 | Time:6.9808 | Total_Time:2245.2977
Train Epoch: 1 [13760/68175 (20%)] | Loss: 4.034504 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.6875 | Time:6.9984 | Total_Time:2273.6326
Train Epoch: 1 [13920/68175 (20%)] | Loss: 2.901165 | Top1_Accuracy_V:0.6875 | Top5_Accuracy_V:0.9375 | Time:6.983 | Total_Time:2302.4473
Train Epoch: 1 [14080/68175 (21%)] | Loss: 4.032605 | Top1_Accuracy_V:0.5 | Top5_Accuracy_V:0.625 | Time:7.013 | Total_Time:2328.8168
Train Epoch: 1 [14240/68175 (21%)] | Loss: 4.207839 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.6875 | Time:6.9093 | Total_Time:2357.0241
Train Epoch: 1 [14400/68175 (21%)] | Loss: 3.987695 | Top1_Accuracy_V:0.4375 | Top5_Accuracy_V:0.6875 | Time:6.9763 | Total_Time:2386.5391
Train Epoch: 1 [14560/68175 (21%)] | Loss: 4.110816 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.6875 | Time:6.9768 | Total_Time:2412.6412
Train Epoch: 1 [14720/68175 (22%)] | Loss: 4.206278 | Top1_Accuracy_V:0.4375 | Top5_Accuracy_V:0.6875 | Time:6.9146 | Total_Time:2436.7036
Train Epoch: 1 [14880/68175 (22%)] | Loss: 3.689332 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.6875 | Time:6.9425 | Total_Time:2463.9833
Train Epoch: 1 [15040/68175 (22%)] | Loss: 3.791778 | Top1_Accuracy_V:0.5625 | Top5_Accuracy_V:0.875 | Time:6.9327 | Total_Time:2491.9615
Train Epoch: 1 [15200/68175 (22%)] | Loss: 3.834831 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.625 | Time:7.0255 | Total_Time:2519.2744
Train Epoch: 1 [15360/68175 (23%)] | Loss: 3.762224 | Top1_Accuracy_V:0.4375 | Top5_Accuracy_V:0.75 | Time:7.8562 | Total_Time:2546.7121
Train Epoch: 1 [15520/68175 (23%)] | Loss: 4.100830 | Top1_Accuracy_V:0.5 | Top5_Accuracy_V:0.6875 | Time:6.8908 | Total_Time:2571.2885
Train Epoch: 1 [15680/68175 (23%)] | Loss: 3.438931 | Top1_Accuracy_V:0.4375 | Top5_Accuracy_V:0.8125 | Time:6.955 | Total_Time:2599.1395
Train Epoch: 1 [15840/68175 (23%)] | Loss: 3.045645 | Top1_Accuracy_V:0.625 | Top5_Accuracy_V:0.8125 | Time:6.9735 | Total_Time:2626.8025
Train Epoch: 1 [16000/68175 (23%)] | Loss: 4.270023 | Top1_Accuracy_V:0.4375 | Top5_Accuracy_V:0.625 | Time:7.9679 | Total_Time:2651.6292
Train Epoch: 1 [16160/68175 (24%)] | Loss: 3.588888 | Top1_Accuracy_V:0.5 | Top5_Accuracy_V:0.875 | Time:7.0038 | Total_Time:2677.0697
Train Epoch: 1 [16320/68175 (24%)] | Loss: 4.099844 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.625 | Time:6.9946 | Total_Time:2703.1738
Train Epoch: 1 [16480/68175 (24%)] | Loss: 4.289854 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.5 | Time:6.9531 | Total_Time:2728.0553
Train Epoch: 1 [16640/68175 (24%)] | Loss: 3.680786 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.625 | Time:6.8623 | Total_Time:2750.2444
Train Epoch: 1 [16800/68175 (25%)] | Loss: 3.427689 | Top1_Accuracy_V:0.5 | Top5_Accuracy_V:0.75 | Time:6.9664 | Total_Time:2777.7893
Train Epoch: 1 [16960/68175 (25%)] | Loss: 4.117171 | Top1_Accuracy_V:0.5 | Top5_Accuracy_V:0.6875 | Time:7.2096 | Total_Time:2802.3092
